EQUIPAMIENTO;TRANSPORTE;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL
2 pistas de futbol-sala. Pista de baloncesto. Instalacion para deportes sobre ruedas. Pista de baloncesto 3x3.  Acceso libre.;Metro: Fuencarral (linea 10).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb9e99d98fc2b610VgnVCM1000001d4a900aRCRD;BRAILLE;CALLE;V;15;;;;;MADRID;MADRID;28034;6;VALVERDE;8;FUENCARRAL-EL PARDO;441115;4482990;4.049.553.402.527.140;-3.694.889.844.552.840;;;
2 Pistas polideportivas, (marcajes de futbol sala y balonmano y 2 baloncestos transversales).  Acceso libre.;Renfe: Santa Eugenia (lineas C2, C7 y C8).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=617f55fdb3b41110VgnVCM1000000b205a0aRCRD;VASARES;CAMINO;V;13;;;;PARQUE VILDA;MADRID;MADRID;28031;2;SANTA EUGENIA;18;VILLA DE VALLECAS;447993;4470348;40.382.106.378.925.000;-36.126.907.212.800.800;;;
3 Pista de baloncesto 3 x 3 1 Pista de futbol sala 4 Mesa de tenis mesa  Acceso libre.;Consulta los siguientes enlaces.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7c81830bdf6ec910VgnVCM100000891ecb1aRCRD;SAN ISIDRO;PARQUE;T;;;;;;MADRID;MADRID;;;;;DISTRITO;438464;4472433;4.040.023.658.430.990;-37.251.417.506.183.500;;;
3 pistas de futbol sala 1 pista baloncesto 1 pista baloncesto 3x3 1 pista de voleibol 1 pista de patinaje  Acceso libre.;Consulta los siguientes enlaces.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e33d50aa44301110VgnVCM1000000b205a0aRCRD;ARROYO DE POZUELO;CALLE;V;6;;;;;MADRID;MADRID;28023;7;ARAVACA;9;MONCLOA-ARAVACA;434779;4478162;4.045.156.253.178.620;-37.691.550.610.977.000;;;
Campo de futbol (cesped artificial).  Pista de futbol 11 (cesped artificial).  Pista de baloncesto. 3 pistas de baloncesto 3x3.  Acceso controlado.;Metro: Avenida de la Ilustracion, Peñagrande (linea 7).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1b1898d6f7291110VgnVCM2000000c205a0aRCRD;SANTIAGO DE COMPOSTELA;CALLE;V;104;;;;c/v ISLA DE TABARCA;MADRID;MADRID;28035;3;PEÑA GRANDE;8;FUENCARRAL-EL PARDO;438898;4480931;40.476.809.546.000.700;-37.208.537.072.021.800;;;
Circuito de parkour. Circuito de calistenia. Pista de minibaloncesto. Pista de patinaje.  Acceso libre.;Renfe: Santa Eugenia (lineas C2, C7 y C8).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=371ef533a3468710VgnVCM1000001d4a900aRCRD;ENSANCHE DE VALLECAS;AVENIDA;V;14;;;;;MADRID;MADRID;28051;3;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;447978;4468989;40.369.856.041.672.500;-3.612.756.802.771.570;;;
Equipamientos    Unidades Deportivas al Aire Libre 2 Pistas de Tenis (1 con luz y otra sin luz) - 4 Pistas de Padel - 1 Pista de Futbol Sala (sin luz) - 2 Pistas de Baloncesto (sin luz)  Unidades Deportivas Cubiertas Sala Multiusos de Fitness Aerobico  Acceso controlado.;Consulta los siguientes enlaces.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d2370e840d2b2110VgnVCM1000000b205a0aRCRD;CAPRICHOS;AVENIDA;V;1;;;;;MADRID;MADRID;28011;1;LOS CARMENES;10;LATINA;438181;4473053;4.040.579.744.690.790;-37.285.454.246.920.900;;;
Fronton 2 Pistas de baloncesto 2 Pistas polideportivas Minibasket  Acceso libre.;Metro: Valdebernardo (linea 9).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2eace1fffb1f5310VgnVCM2000000c205a0aRCRD;CORDEL DE PAVONES;CALLE;V;11;;;;;MADRID;MADRID;28032;2;VALDEBERNARDO;19;VICALVARO;447507;4472329;40.399.914.782.005.600;-36.185.777.736.655.600;;;
Pista de Baloncesto  Acceso libre.;Metro: Cruz del Rayo (linea 9).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f969f99d08129210VgnVCM1000000b205a0aRCRD;JOAQUIN RODRIGO;PLAZA;V;1;;;;;MADRID;MADRID;28002;;CIUDAD JARDiN;;CHAMARTIN;442574;4477426;4.044.549.718.316.200;-3.677.183.546.596.660;;;
Pista de baloncesto  Acceso libre.;Metro: Pinar de Chamartin (lineas 1 y 4).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5cbb9256c6bed210VgnVCM1000000b205a0aRCRD;BRIVIESCA;CALLE;V;4;;;;;MADRID;MADRID;28033;9;COSTILLARES;15;CIUDAD LINEAL;443503;4481453;4.048.183.793.645.460;-36.665.879.427.690.800;;;
Pista de baloncesto  Acceso libre.;Metro: Islas Filipinas (linea 7), Canal (lineas 2 y 7).;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1aa8cde26f7d9610VgnVCM1000001d4a900aRCRD;BRAVO MURILLO;CALLE;V;49;;;;;MADRID;MADRID;28003;6;VALLEHERMOSO;7;CHAMBERI;440261;4476761;4.043.935.627.177.320;-3.704.371.546.221.410;;;
Pista de baloncesto  Acceso libre.;Renfe: Santa Eugenia (lineas C2, C7 y C8).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a554a9b438051110VgnVCM1000000b205a0aRCRD;SANTA EUGENIA;AVENIDA;V;1;;;;;MADRID;MADRID;28031;2;SANTA EUGENIA;18;VILLA DE VALLECAS;448343;4470808;4.038.626.820.789.460;-36.086.007.213.101.800;;;
Pista de baloncesto  Acceso libre.;Consulta los siguientes enlaces.;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=94376b6506551110VgnVCM1000000b205a0aRCRD;POZA DE LA SAL;CALLE;V;4;;;;;MADRID;MADRID;28031;2;SANTA EUGENIA;18;VILLA DE VALLECAS;448816;4470012;4.037.912.373.319.080;-36.029.851.282.692.700;;;
Pista de baloncesto  Acceso libre.;Metro: Villa de Vallecas (linea 1).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6c59e90c4b41110VgnVCM1000000b205a0aRCRD;PUERTO DE LUMBRERAS;CALLE;V;14;;;;;MADRID;MADRID;28031;1;CASCO H.VALLECAS;18;VILLA DE VALLECAS;447449;4470301;40.381.645.503.621;-3.619.095.809.540.990;;;
Pista de baloncesto  Acceso libre.;Renfe: Santa Eugenia (linea C2, C7 y C8).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8bd14584cff41110VgnVCM1000000b205a0aRCRD;ZAZUAR;CALLE;V;1;;;;;MADRID;MADRID;28031;2;SANTA EUGENIA;18;VILLA DE VALLECAS;448609;4470397;4.038.257.934.400.670;-36.054.546.139.177.300;;;
Pista de baloncesto 3 x 3  Acceso libre.;Renfe: Santa Eugenia (lineas C2, C7 y C8).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2716c39144551110VgnVCM1000000b205a0aRCRD;PUENTELARRA;CALLE;V;12;;;;;MADRID;MADRID;28031;2;SANTA EUGENIA;18;VILLA DE VALLECAS;448296;4470473;4.038.324.470.241.850;-36.091.362.899.378.600;;;
Pista de baloncesto cubierto Pista polideportiva cubierta  Acceso libre.;Metro: Congosto (linea 1).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=52e5291fa9288710VgnVCM1000001d4a900aRCRD;PEÑARANDA DE BRACAMONTE;CALLE;V;54;;;;;MADRID;MADRID;28051;3;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;447948;4468435;4.036.487.064.423.940;-3.613.064.051.608.720;;;
Pista de baloncesto Pista de bolos y petanca  Acceso libre.;Metro: Usera (linea 6).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=73415c51350e1110VgnVCM1000000b205a0aRCRD;CALESAS;CALLE;V;4;;;;;MADRID;MADRID;28026;5;MOSCARDO;12;USERA;440173;4471408;4.039.112.392.741.980;-37.049.283.470.996.700;;;
Pista de Baloncesto Pista polideportiva  Acceso controlado.;Metro: Marques de Vadillo (linea 5).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=647b204ea5971110VgnVCM1000000b205a0aRCRD;ANTONIO LOPEZ;CALLE;V;19;;;;CUBIERTA DE P.A.R.;MADRID;MADRID;28019;1;COMILLAS;11;CARABANCHEL;439465;4472039;4.039.675.778.108.710;-37.133.155.438.748.900;;;
Pista de baloncesto Tenis de mesa Pista de voleibol  Acceso libre.;Consulta los siguientes enlaces.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=72e68d2ec6099610VgnVCM1000001d4a900aRCRD;CORNISA;PARQUE;T;;;;;CALLE DEL ROSARIO;MADRID;MADRID;;;;;DISTRITO;439262;4473597;40.410.782.823.227.300;-37.158.504.935.306.000;;;
Pista de baloncesto y pista de patinaje.  Acceso libre.;Metro: Antonio Machado (linea 7).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=61cf99d98fc2b610VgnVCM1000001d4a900aRCRD;SANTUARIO DE VALVERDE;AVENIDA;V;41;;;;;MADRID;MADRID;28049;8;EL GOLOSO;8;FUENCARRAL-EL PARDO;440904;4484283;4.050.715.972.029.970;-36.974.983.196.434.800;;;
Pista de baloncesto y pista polideportiva.  Acceso libre.;Metro: Fuencarral (linea 10).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=beda96e321f05310VgnVCM1000000b205a0aRCRD;NURIA;CALLE;V;81;;;;;MADRID;MADRID;28034;7;MIRASIERRA;8;FUENCARRAL-EL PARDO;439734;4482940;4.049.498.070.301.620;-37.111.789.282.628.400;;;
Pista de baloncesto.  Acceso libre.;Metro: Herrera Oria (linea 9).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=76e6e08340d35310VgnVCM2000000c205a0aRCRD;SANGENJO;CALLE;V;40;;;;;MADRID;MADRID;28034;5;LA PAZ;8;FUENCARRAL-EL PARDO;440794;4482201;4.048.840.130.012.320;-3.698.595.054.857.280;;;
Pista de baloncesto.  Acceso libre.;Metro: Avenida de la Paz (linea 4).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cacbdf5a0c6fc910VgnVCM200000f921e388RCRD;BUESO PINEDA;CALLE;V;4;;;;;MADRID;MADRID;28043;6;SAN JUAN BAUTISTA;15;CIUDAD LINEAL;444105;4478135;4.045.200.524.274.380;-36.591.775.603.358.000;;;
Pista de baloncesto.  Acceso libre.;Metro: Antonio Machado (linea 7).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f25099d98fc2b610VgnVCM1000001d4a900aRCRD;MARIA DE MAEZTU;CALLE;V;36;;;;;MADRID;MADRID;28049;7;MIRASIERRA;8;FUENCARRAL-EL PARDO;438241;4482397;40.489.982.955.898.700;-37.287.424.913.482.000;;;
Pista de baloncesto.  Acceso libre.;Metro: Fuencarral (linea 10).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=aaad80a53df05310VgnVCM1000000b205a0aRCRD;ARZOBISPO MORCILLO;CALLE;V;9;;;;;MADRID;MADRID;28029;5;LA PAZ;8;FUENCARRAL-EL PARDO;441078;4481405;40.481.246.364.189.300;-36.951.796.155.204.600;;;
Pista de baloncesto. Campo de futbol 7 (cesped artificial). Pista de futbol sala  Acceso controlado.;Consulta los siguientes enlaces.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc56395961e4f010VgnVCM2000000c205a0aRCRD;MONASTERIO DE EL PAULAR;CALLE;V;138;;;;;MADRID;MADRID;28049;7;MIRASIERRA;8;FUENCARRAL-EL PARDO;440643;4483540;40.500.438.927.851.700;-3.700.512.809.058.560;S/T;;
Pista de baloncesto. Campo de futbol 7. Pista de hockey.  Acceso controlado.;Metro: Las Tablas (lineas 10 y ML1).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0551a2d399a05310VgnVCM1000000b205a0aRCRD;FROMISTA;CALLE;V;4;;;;;MADRID;MADRID;28050;6;VALVERDE;8;FUENCARRAL-EL PARDO;442431;4484431;40.509.014.480.693.000;-36.770.972.758.501.000;;;
Pista de baloncesto. Pista de futbol sala.  Acceso libre.;Renfe: Santa Eugenia (lineas C2, C7 y C8).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa29f533a3468710VgnVCM1000001d4a900aRCRD;"CA&amp;Ntilde;ADA DEL SANTISIMO";CALLE;V;47;;;;;MADRID;MADRID;28051;3;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;449010;4468144;40.362.315.118.210.400;-36.005.273.001.903.300;;;
Pista de baloncesto. Pista de futbol-sala.  Acceso libre.;Metro: Fuencarral (linea 10).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b72a40a4a8915310VgnVCM2000000c205a0aRCRD;VERIN;PLAZA;V;8;;;;CUBIERTA DE P.A.R.;MADRID;MADRID;28029;4;EL PILAR;8;FUENCARRAL-EL PARDO;439875;4480932;4.047.690.225.914.070;-37.093.230.351.638.100;;;
Pista de baloncesto. Pista de voleibol. Zona de calistenia.  Acceso libre.;Metro: Tres Olivos (linea 10).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb43ef80813bc910VgnVCM200000f921e388RCRD;CABALLERO DE LA TRISTE FIGURA;CALLE;V;6;;;;;MADRID;MADRID;28034;6;VALVERDE;8;FUENCARRAL-EL PARDO;441245;4483541;4.050.356.195.702.380;-36.903.246.842.355.500;;;
Pista de baloncesto. Pista polideportiva (marcajes de futbol sala y voleibol).  Acceso libre.;Metro: Las Suertes (linea 1).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b777d112cde58710VgnVCM1000001d4a900aRCRD;LAS SUERTES;AVENIDA;V;63;;;;;MADRID;MADRID;28051;3;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;447796;4469520;4.036.559.128.645.830;-35.960.998.530.112.200;;;
Pista de futbol sala 2 Pistas de baloncesto  Acceso libre.;Metro: Artilleros (linea 9).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3efff1c446391110VgnVCM2000000c205a0aRCRD;HACIENDA DE PAVONES;CALLE;V;119;;;;;MADRID;MADRID;28030;6;VINATEROS;14;MORATALAZ;445639;4472648;40.402.673.120.888.400;-36.406.115.727.832.300;;;
Pista de futbol sala. 2 Pistas de baloncesto (transversales). Pista de skate.  Acceso libre.;Metro: Congosto (linea 1).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7a14291fa9288710VgnVCM1000001d4a900aRCRD;PUERTO DE PORZUNA;CALLE;V;31;;;;;MADRID;MADRID;28031;1;CASCO H.VALLECAS;18;VILLA DE VALLECAS;447118;4469475;40.374.185.181.259.600;-3.622.929.154.419.030;;;
Pista de minibaloncesto y minifutbol  Acceso libre.;Metro: Congosto (linea 1).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=346a6635ec288710VgnVCM1000001d4a900aRCRD;PEÑARANDA DE BRACAMONTE;CALLE;V;7;;;;;MADRID;MADRID;28051;3;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;448710;4469592;4.037.533.906.377.620;-3.604.183.911.642.270;;;
Pista de minibaloncesto y minifutbol.  Acceso libre.;Renfe: Santa Eugenia (lineas C2, C7 y C8).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c981763979368710VgnVCM1000001d4a900aRCRD;EDUARDO CHILLIDA;CALLE;V;2;;;;;MADRID;MADRID;28051;3;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;450323;4468214;4.036.302.244.550.460;-3.585.074.019.427.530;;;
Pista de minibaloncesto. Pista de minifutbol  Acceso libre.;Metro: Congosto (linea 1).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3ccd112cde58710VgnVCM1000001d4a900aRCRD;CERRO MILANO;AVENIDA;V;18;;;;;MADRID;MADRID;28051;3;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;447920;4468548;4.036.588.534.588.440;-3.613.403.621.440.490;;;
Pista de minibaloncesto. Pista de minifutbol. Pista de skate.  Acceso libre.;Metro: Las Suertes (linea 1).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=867fd112cde58710VgnVCM1000001d4a900aRCRD;"CA&amp;Ntilde;ADA DEL SANTISIMO";CALLE;V;39;;;;;MADRID;MADRID;28051;3;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;449177;4468384;40.364.484.780.717.500;-359.858.329.881.689;;;
Pista polideportiva (con marcajes de futbol sala y 2 de baloncesto) 3 Pistas de Chito 3 Tenis de mesa  Acceso libre.;Metro: Artilleros (linea 9).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ebc063952e391110VgnVCM2000000c205a0aRCRD;DOCTOR GARCIA TAPIA;AVENIDA;V;192;;;;;MADRID;MADRID;28030;3;MARROQUINA;14;MORATALAZ;445882;4473264;4.040.823.894.441.470;-3.637.806.006.862.960;;;
Pista polideportiva (marcajes de futbol sala y 2 baloncestos transversales). Pista de futbol sala.  Acceso libre.;Metro: Villa de Vallecas (linea 1).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd020c3bf9f98710VgnVCM2000001f4a900aRCRD;PICO DE LA CIERVA;CALLE;V;4;;;;;MADRID;MADRID;28031;1;CASCO H.VALLECAS;18;VILLA DE VALLECAS;447533;4469796;4.037.710.310.380.210;-36.185.063.391.325.300;;;
Pista polideportiva (marcajes de futbol sala y balonmano) Pista baloncesto  Acceso libre.;Metro: Las Suertes (linea 1).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a7c2150461f5310VgnVCM1000000b205a0aRCRD;ALTO DEL RETIRO;CALLE;V;7;;;;;MADRID;MADRID;28051;3;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;450120;4468596;40.368.540.424.916.400;-3.591.695.083.849.990;;;
Pistas de baloncesto cubierta.  Acceso libre.;Metro: Parque de Santa Maria (linea 4).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=302e9b165e961110VgnVCM1000000b205a0aRCRD;SANTA ADELA;CALLE;V;14;;;;;MADRID;MADRID;28033;4;PINAR DEL REY;16;HORTALEZA;445043;4481198;40.479.644.201.807.700;-3.648.385.573.479.980;;;
Superficie: 1.200 m2   Equipamientos:    1 Campo de futbol 2 Pistas de futbol sala 1 Pista de baloncesto  Acceso controlado.;Metro: Eugenia de Montijo (linea 5).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1cd3626222f61110VgnVCM1000000b205a0aRCRD;PARQUE EUGENIA DE MONTIJO;CALLE;V;3;;;;;MADRID;MADRID;28047;4;VISTA ALEGRE;11;CARABANCHEL;436105;4470144;40.379.434.859.363.700;-37.527.108.325.250.200;;;
Superficie: 1.200 m2  Equipamientos:    1 Pista de baloncesto 1 Pista de futbol sala 1 Pista de patinaje 2 Tenis de mesa  Acceso libre.;Metro: Marques de Vadillo (linea 5).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=09f5db6d12b41110VgnVCM1000000b205a0aRCRD;VERDAD;CALLE;V;2;;;;;MADRID;MADRID;28019;2;OPAÑEL;11;CARABANCHEL;439213;4471863;4.039.515.386.518.450;-371.626.444.499.237;;;
Superficie: 5.000 m2  Equipamientos:    1 Campo de futbol 7 1 Pista de futbol sala 1 Pista polideportiva (con marcajes de baloncesto y voley) 2 Pistas de bolos y petanca 2 Tenis de mesa  Acceso libre.;Metro: Marques de Vadillo (linea 5).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=72d28f82f7f61110VgnVCM1000000b205a0aRCRD;ANTONIO DE LEYVA;CALLE;V;35;;;;;MADRID;MADRID;28019;1;COMILLAS;11;CARABANCHEL;439305;4471634;40.393.087.603.439.400;-3.715.247.014.237.780;;;
Unidades deportivas cubiertas:  Pista polideportiva (marcajes de futbol sala, 3 de baloncesto transversales).  Acceso libre.;Metro: Villa de Vallecas (linea 1).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c4fa3b9c7c451110VgnVCM1000000b205a0aRCRD;MONTE DE MONTJUICH;CALLE;V;9;;;;;MADRID;MADRID;28031;2;SANTA EUGENIA;18;VILLA DE VALLECAS;447728;4470179;40.380.551.636.449.300;-36.158.152.393.748.700;;;
Unidades deportivas:    1 Campo de futbol 7 (cesped artificial) Circuito de bicicletas  Circuito de vida  1 Pista de futbol sala 5 Salas multiusos  1 Pista polideportiva (con marcaje de futbol sala y balonmano)  1 Pista polideportiva (con marcaje de baloncesto, voleibol y tenis single)  3 Pistas de padel (cristal)  1 Pista de tenis Sala de musculacion  Acceso controlado.;Metro: O'Donnell (linea 6).;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca93d9d0f9f33310VgnVCM2000000c205a0aRCRD;ALCALDE SAINZ DE BARANDA;CALLE;V;94;;;;;MADRID;MADRID;28007;3;FUENTE DEL BERRO;4;SALAMANCA;443945;4474719;4.042.121.783.502.110;-36.607.653.462.118.400;917 654 330;;
